tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
24031704804,"Bethesda, MD",0.1084
51059451200,"Falls Church, VA",0.1082
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.1077
51059470800,"McLean, VA",0.1055
24031704805,"Bethesda, MD",0.1046
51059470100,"McLean, VA",0.1039
51510202001,"Old Town, Alexandria, VA",0.1015
11001008200,"Northeast Washington, Washington, DC",0.1014
11001010700,"Downtown, Washington, DC",0.1
51510201801,"Northeast Alexandria, Alexandria, VA",0.0985
51059415200,"Alexandria, VA",0.097
51059420202,"Alexandria, VA",0.0954
11001000801,"Northwest Washington, Washington, DC",0.0951
51013101900,"Ashton Heights, Arlington, VA",0.0941
11001005900,"Northwest Washington, Washington, DC",0.0938
51013103602,"Aurora Highlands, Arlington, VA",0.093
51013103401,"Fort Myer, Arlington, VA",0.0919
11001007301,"Southwest Washington, Washington, DC",0.0918
51510200404,"Landmark, Alexandria, VA",0.0912
24031704700,"Bethesda, MD",0.0881
51510200403,"Landmark, Alexandria, VA",0.0868
11001004100,"Northwest Washington, Washington, DC",0.0823
51013103502,"Aurora Highlands, Arlington, VA",0.0818
51013101802,"Court House, Arlington, VA",0.081
51013103503,"Crystal City, Arlington, VA",0.0802
11001005600,"Northwest Washington, Washington, DC",0.0783
11001010800,"Northwest Washington, Washington, DC",0.0781
11001000702,"Northwest Washington, Washington, DC",0.0758
51510200702,"Eisenhower East, Alexandria, VA",0.0757
51013101403,"Virginia Square, Arlington, VA",0.0741
51013103402,"Crystal City, Arlington, VA",0.072
11001001402,"Northwest Washington, Washington, DC",0.0689
51013102902,"Shirlington, Arlington, VA",0.0581
11001006500,"Southeast Washington, Washington, DC",0.0501
51059471000,"Falls Church, VA",0.0466
51510202002,"Old Town, Alexandria, VA",0.0459
51510200701,"Eisenhower West, Alexandria, VA",0.01
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
